"faqNbr","carClassNbr","faqCarNbr","faqCarNm","question","answer"
11,7128,4103,"기아 스포티지 5세대
                하이브리드",QM6와 비교하면 어떤 차가 더 큰가요?,"썩어도 준치라고 중형 SUV인 QM6가 미세하게나마 큽니다. 자동차 크기의 기준은 언제나 전장, 즉 전체 길이니까요. 둘 다 2022년식 기준 QM6는 4675mm, 스포티지는 4660mm입니다. 15mm라는 근소한 차이가 있죠. 하지만 휠베이스와 차체 너비는 근소하게 넓습니다."
12,7128,4103,"기아 스포티지 5세대
                하이브리드",디젤 매물은 피해야겠죠?,"현재 스포티지 디젤 모델은 단종된 상태입니다. 지난 부분변경 모델 등장과 함께 31년의 역사를 마쳤죠. 그래서 중고 매물로 추천하기가 꺼려지는 상황은 분명합니다.그래도 8단 자동변속기와 강력한 최대토크, 훌륭한 고속 주행 연비 대체 불가한 부분이 있습니다"
13,6853,4082,현대 아이오닉5,아5N의 최고속도는 얼마인가요?,최고속도는 260km/h입니다. 최고출력을 생각하면 그렇게 빠르지 않다고 생각할 수도 있는데요. 우선 아이오닉 5 N은 아이오닉 5를 바탕 삼았기 때문에 태생부터 납작한 페라리나 람보르기니(=초고속 주행에 최적)와 직접 비교하긴 어렵습니다.
14,6853,4082,현대 아이오닉5,내연기관차 소리를 내나요?," 'N 액티브 사운드+'가 있습니다. 총 세 가지 사운드를 내는데, 엔진음을 모사한 '이그니션', 미래형 스포츠 전기차를 그려낸 '에볼루션', 초음속 전투기 감성을 살린 '슈퍼소닉'이 있습니다. 패들시프트로 '변속'하며 '팝앤뱅 사운드'를 즐기는 유일한 전기차이죠"
15,6853,4082,현대 아이오닉5,스마트 카드키를 사용할 수 있나요?,"아5N은 국내에 처음으로 버튼형 스마트 카드키를 도입한 자동차 입니다. 신용카드 3장 두께에 불과한 얇기에 기존 스마트키처럼 버튼을 누르면서 문을 여닫거나 원격 시동, 원격 주차 보조(RSPA), 트렁크 열림, 원격 경보음 등 다양한 기능을 사용할 수 있습니다."
16,6853,4082,현대 아이오닉5,아이오닉 5와 다른 배터리를 사용하나요?,"아이오닉 5는 초기형에 72.6kWh, 연식변경 모델에 77.4kWh 배터리를 사용하는 등 배터리 용량에 변화가 있던 반면, 아이오닉 5 N은 출시 후 지금까지 똑같이 84kWh 배터리를 사용하고 있습니다. 부분변경에도 초기형과 같은 배터리를 유지했습니다."
17,6853,4082,현대 아이오닉5,아이오닉 6 N을 기다릴까요?,"아이오닉 6 N을 출시 전 미리 타본 결과 두 차는 성향이 사뭇 다릅니다. 운전 재미를 탐하느냐, 진정 빠른 주행을 원하느냐의 차이랄까요? 다만 아이오닉 6 N이 나중에 나오는 만큼 분명 개선점이 있습니다. 특히 소프트웨어적으로 엄청난 업그레이드가 있었다는..."
18,7487,4064,"현대 팰리세이드
                (LX3)",카니발과의 크기는 어떻게 되나요?,"결론부터 말하자면 카니발이 큽니다. 팰리세이드와 비교하면 높이와 너비가 각각 95mm, 15mm씩 크고 높이는 30mm 낮습니다. 심지어 휠베이스도 카니발은 120mm 더 긴 3090mm죠. 다만 팰리세이드는 SUV답게 높다란 보닛과 키 때문에 더 커 보입니다."
19,7487,4064,"현대 팰리세이드
                (LX3)",신형 팰리에 포함된 기능은 무엇인가요?,"그룹 최초로 들어간 차세대 하이브리드 파워트레인, 현대 SUV 최초 프리뷰 전자제어 서스펜션, 전기차처럼 고전압 배터리 전력을 외부로 끌어내 쓸 수 있는 하이브리드 V2L, 시동 없이 에어컨과 히터 등 각족 기능을 쓸 수 있는 스테이 모드 등입니다."
20,7487,4064,"현대 팰리세이드
                (LX3)","7인승 구조는 어떻게 되어있나요?","7인승 시트는 1열+2열+3열로 소개하면 각각 2+2+3 배열로 되어 있습니다. 실제로 7명을 다 태우기보단 평소에 4명이 탈 때 2열을 편안하게 쓰도록 구성했죠. 그래서 3열은 성인 세 명이 나란히 앉기가 매우 어렵습니다. 커다란 휠하우스가 파고들면 너비가 좁거든요"
21,7487,4064,"현대 팰리세이드
                (LX3)","4륜구동과 2륜구동 차이점은 무엇인가요?"," 차이점은 험한 길 또는 미끄러운 노면을 주파할 수 있는 성능 차이입니다. 2륜과 4륜 모두 평소엔 앞바퀴를 주로 굴리지만, 미끄러운 노면을 맞닥뜨렸을 때 4륜구동 모델은 뒷바퀴로 동력을 보내 더 안정적으로 나아갈 수 있습니다."
22,7487,4064,"현대 팰리세이드
                (LX3)",하이브리드가 답인가요?,"무엇이 더 중요한지에 따라 다르다고 볼 수 있습니다. 초기 구매 가격을 낮추고 보다 구고적으로 단순한 차가 좋다면 일반 가솔린 모델이 좋죠. 더 높은 연비와 주행 성능,전기차에 가까운 각종 기능을 누리고 싶다면 하이브리드가 좋습니다."
23,6601,4062,기아 스팅어 마이스터,아반떼 N과 어떤 차이점이 있나요??,"앞바퀴를 굴리는 아반떼 N은 작은 차체 크기를 바탕으로 와인딩 도로와 트랙에서 강점을 발휘한다면, 스팅어는 뒷바퀴굴림, 넉넉한 실내 공간, 여유로운 출력, 그리고 편의장비를 무기로 장거리 주행에 강점이 있습니다."
24,6601,4062,기아 스팅어 마이스터,기존 스팅어와 어떤 부분이 달라졌나요?,외모 차이는 휠과 테일램프입니다. 실내는 10.25인치 센터 디스플레이가 눈에 띄죠. 하지만 가장 중요한 변화는 파워트레인입니다. 특히 2.5 터보 엔진이 매력입니다. 출력이 더 강할 뿐 아니라 아직 큰 문제가 발견되지 않아 안심할 수 있습니다.
25,6601,4062,기아 스팅어 마이스터,스팅어 최고속도는 얼마인가요?,"3.3 트윈터보 최고속도는 시속 270km입니다. 다만, 출고 당시 여름용 타이어가 아닌 사계절 타이어를 달고 있다면 최고시속은 240km로 제한되어 있으니 참고 바랍니다. 아쉽게도 2.5 터보 최고속도는 공식적으로 공개하지 않았습니다. "
26,6601,4062,기아 스팅어 마이스터,고속주행 시 풍절음이 큰 편인가요?,"풍절음은 그리 크지 않습니다. 평범한 중형 혹은 준대형 세단과 비슷합니다. 다만, 바닥에서 올라오는 타이어 구르는 소음이 크고, 실내 곳곳에서 들리는 잡소리가 거슬릴 뿐입니다."
27,6601,4062,기아 스팅어 마이스터,자동차세는 어떨까요?,"자동차세는 출고 4년 차부터 매년 5%(최대 50%)씩 할인됩니다. 25년 기준 20년 8월 스팅어 마이스터 3.3의 자동차세는 신차 때 86만8920원에서 15만원 가량 빠진 71만 6850원, 2.5터보는 64만 9220원보다 10만원 이상 줄어든 53만5990원입니다."
28,7212,4044,"쉐보레(GM대우) 올 뉴
                콜로라도",사이즈가 너무 커서 불편하지 않을까요?,"카니발의 나라 한국에서 콜로라도 자체 크기가 부담스럽다고 하면 거짓말이죠. 콜로라도는 카니발보다 차체 길이가 한 뼘 정도 길뿐, 너비는 오히려 좁습니다. 주차하면 앞코가 튀어나오긴 하지만... 오래된 상가 주차장 들어갈 땐 좀 힘들긴하겠네여.."
29,7212,4044,"쉐보레(GM대우) 올 뉴
                콜로라도","픽업트럭, 진짜 실용적인가요?",일반 가정에서 사용한다면 현대 팰리세이드와 같은 중대형 SUV가 훨씬 실용적입니다. 캐노피나 덮개를 따로 설치하지 않으면 짐을 싣고 나서 꼭 노끈으로 고정하거나 그물을 씌워야 하는 점도 번거롭죠.(연비도 별로고요).짐꾼과 레저용으로 쓸 수 있는게 매력이죠
30,7212,4044,"쉐보레(GM대우) 올 뉴
                콜로라도",연비가 너무 안 좋다던데요?,가솔린 픽업트럭은 연비가 아쉽습니다. 연료 효율 높은 픽업트럭은 만나보질 못했습니다. 정속 주행하면 10~11km/L 정도지만 시내 들어서면 급격히 떨어집니다. 유류비가 부담된다면 디젤 엔진또는 전기차로 나온 무쏘 EV는 어떠세요?
31,7212,4044,"쉐보레(GM대우) 올 뉴
                콜로라도",수입차라 AS나 부품 수급이 불편할까요?,"보증기간은 국산차와 같아 차체 3년/6만, 파워트레인 5년/10만으로 부담이 적습니다. 하지만 수입차라 부품 가격이 비싸고 재고가 적어, 없으면 오래 기다려야 하는 단점이 있습니다."
32,7212,4044,"쉐보레(GM대우) 올 뉴
                콜로라도",보험료는 국산 픽업트럭에 비해 비싼가요?,"만 35세 남자 기분으로 콜로라도(6,330만원)1년 보험료는 65만8,000원 타스만(5,240만원)은 46만5,000원입니다. 콜로라도는 수입차라 보험료가 약 30% 비싸 타스만이 더 합리적입니다.."
33,7391,4043,"기아 더 뉴 쏘렌토
                4세대",하이브리드 모델은 어떤가요?,매력적입니다. 커다란 중형 SUV를 준중형 세단 수준의 유류비로 탈 수 있는 경제적인 선택지죠. 복합 연비는 13.8~15.7km/L며 실제 연비는 더욱 높습니다. 시스템 출력은 235마력으로 가속도 충분합니다. 다만 6단 변속기가 유일한 흠이랄까요?
34,7391,4043,"기아 더 뉴 쏘렌토
                4세대",시트 착좌감이나 승차감은 어떤가요?,"시트 착좌감, 승차감 모두 무난합니다. 스티어링휠 앞뒤 위치를 조정하는 텔레스코픽 기능 조절 거리가 충분하고, 시트 앞뒤 높이 조절 범위도 커 높게 올라탄 운전 자세 또는, 엉덩이가 폭 파묻힌 듯한 자세를 취향 따라 조절 가능하죠.딱 중형차다운 승차감?!?"
35,7391,4043,"기아 더 뉴 쏘렌토
                4세대",페리 전 모델과 어떤 점이 달라졌나요?,"앞모습에 기아 EV9를 닮은 새로운 패밀리룩을 받아들였고, 대시보드를 이전보다 말끔하게 다듬었습니다. 기능적으로 보면 12.3인치 두 개가 이어진 파노라믹 커브드 디스플레이가 들어가고 그 안에 기아 최신 인포테인먼트 시스템 ccNc가 들어갑니다. "
36,7391,4043,"기아 더 뉴 쏘렌토
                4세대",패밀리카로 괜찮을까요?,물론입니다. 지난해(2024년) 국내 판매 1위는 괜히 한 게 아니죠. 넓은 실내와 트렁크 공간으로 준대형급 여유를 자랑합니다.사실상 중형 SUV라기 보단 준대형 SUV라고 분류해도 괜찮은 수준입니다.
37,7391,4043,"기아 더 뉴 쏘렌토
                4세대",경쟁차 대비 장점은 뭐가 있을까요?,가장 강력한 경쟁자는 단연 형제 모델인 현대 싼타페입니다. 쏘렌토만의 장점은 스타일이 요란한 싼타페와 달리 차분한 디자인을 들 수 있겠네요. 그리고 가장 다채로운 파워트레인 역시 강점입니다. 싼타페에는없는 2.2L 디젤 엔진이 들어가거든요.
38,7387,4042,현대 싼타페 (MX5),예전 싼타페랑 달라졌나요?,"5세대 싼타페는 이전보다 단단해 고속 안정성은 좋지만, 노면 충격은 더 크게 느껴집니다. 특히 1열보다 2열 승차감이 딱딱하게 느껴질 수 있어 편안함을 중시한다면 SUV보다는 서스펜션을 부드럽게 조율할 수 있는 세단이 더 나은 선택입니다."
39,7387,4042,현대 싼타페 (MX5),이젠 너무 비싸졌네요...,"이제 싼타페는 시작가만 해도 3000만원대, 하이브리드 풀옵션은 5000만원이 넘어 부담이 큽니다. 하지만 크기와 편안함을 갖춘 투싼이나 이전 세대 싼타페 중고차는 여전히 실속 있는 대안입니다."
40,7387,4042,현대 싼타페 (MX5),차체가 커진 만큼 실내 공간도 넓어졌나요?,"차에 타자마자 넉넉한 공간감이 느껴집니다. 1열·2열 모두 여유롭고, 트렁크는 골프백 4개도 거뜬합니다. 스타리아처럼 네모난 차체 덕분에 동급 최고 수준의 실내 공간을 자랑합니다."
41,7387,4042,현대 싼타페 (MX5),운전자 보조 시스템은 어떤가요?,"현대차의 운전자 보조 시스템은 국내 도로에 최적화돼 있습니다. 특히 고속도로 주행보조는 과속카메라 감속, 차로 변경까지 지원해 사실상 반자율주행 수준의(테슬라 정도를 제외하면 가히 국내 시장에서 가장 높은 수준)편리함을 제공합니다. "
42,7387,4042,현대 싼타페 (MX5),"풀체인지 된 디자인, 너무 과감하지 않나요","과감한 변화지만 단순히 나쁜 디자인은 아닙니다. 테라스형 트렁크처럼 실용성 중심의 명확한 콘셉트를 지녔고, 보여주기식 장식이 아닌 이유 있는 일상과 아웃도어를 연결하는 창구로 사용한다는 명확한 콘셉트의 디자인으로 진화한 싼타페입니다."
43,7103,4023,현대 넥쏘,"수소차, 아직 너무 이른 선택 아닌가요?","수소전기차 자체 완성도는 훌륭합니다. 운전자가 차를 타면서 기술적 완성도가 떨어진다고 체감하긴 어렵죠. 주행 감각이나 승차감이 일반적인 전기차와 크게 다르지 않습니다. 보조금 덕에 3,000만원대 구입도 가능하지만 충전소 부족과 불편함이 단점입니다."
44,7103,4023,현대 넥쏘,충전소가 부족하지 않나요?,넉넉하진 않습니다. 24년 7월 기준 전국 수소충전소는 184개에 불과하거든요. 전국 1만 곳이 넘는 주유소나 36만기가 넘는 전지차 충전소와 비교하면 턱없이 부족하죠.게다가 수소를 탱크에 넣기 위해선 충전 대기와 압력 문제로 불편함이 큽니다.
45,7103,4023,현대 넥쏘,정비나 고장 시 대처는요?,넥쏘는 신경 써야 할 경정비가 많은 편은 아닙니다. 하지만 고장 시엔 수소차 전문 정비소(FCEV 블루핸즈 등)나 현대자동차 직영 하이테크센터 등 상급 업소를 찾아야 하는 번거로움이 있습니다.
46,7103,4023,현대 넥쏘,겨울철에도 문제없나요?,"차주들의 의견을 종합하면, 겨울철엔 넥쏘가 전기차보다 낫다는 평가입니다. 겨울철에 전기차 주행거리가 주는 이유는 낮은 온도에서 배터리의 효율이 떨어지기 때문인데요. 연료전지스택에서 전기를 만드는 넥쏘는 날씨에서 비교적 자유롭습니다."
47,7103,4023,현대 넥쏘,충돌 시 수소탱크 폭발 위험 없나요?,"수소탱크는 높은 압력에도 견디도록 설계됐으며, 총격 실험도 통과할 만큼 안전성이 높습니다. 폭발 위험도 거의 없어 걱정하지 않아도 됩니다."
48,7231,4022,BMW XM (G09),X7과 비교하면 XM은 어떤 차이가 있나요?,"XM은 BMW 브랜드 최초의 M 전용 하이브리드 모델로, X7과는 다른 방향성을 지닌 SUV입니다.
X7이 넓은 실내와 편안함 중심의 가족용 SUV라면, XM은 653마력의 고성능 하이브리드 시스템으로 스포티한 주행에 초점을 맞춘 차량입니다.
"
49,7231,4022,BMW XM (G09),하브는 운전 재미는 떨어지지 않나요?,"XM은 전기모터와 V8 터보 엔진의 조합으로 저속부터 고속까지 강한 가속감을 주며, 배터리 배치로 무게중심이 낮아져 운전 재미도 뛰어납니다. 일반 SUV와는 다른 역동성이 느껴지는 모델입니다."
50,7231,4022,BMW XM (G09),유지비가 너무 비쌀 것 같은데요…?,"2억 넘는 차인만큼, 일반 SUV와 비교하면 당연히 높습니다. 고가의 SUV지만, 동급 고성능 모델과 비교하면 가격 대비 성능이 뛰어납니다. 연비도 개선돼 도심 주행에 유리하며, 유지비는 높지만 그만큼의 가치가 있는 모델입니다."
51,7231,4022,BMW XM (G09),너무 희소한 모델이라 리세일이 걱정돼요.,"XM은 BMW M 브랜드 최초의 독립 모델로 희소성이 높아, 시간이 지나도 가치가 잘 유지될 수 있습니다. 한정성과 상징성이 강해 감가율도 낮은 편입니다."
52,7461,4002,BMW X7 (G07),X5는 승차감이 너무 딱딱하던데...?,"두 차 모두 같은 플랫폼을 바탕으로 에어서스펜션을 쓰는 구성은 같지만, 세팅 지향점은 다릅니다. X7은 한결 편안한 승차감 쪽으로 치우쳤죠. 차체가 더 크고 무거운데다 에어서스펜션을 부드럽게 조율했습니다. 특히 2열의 승차감이 도드라집니다."
53,7461,4002,BMW X7 (G07),"40i와 비교해 보면 M60i는 너무 과할까요?","물론입니다. 현재 BMW 코리아가 수입해 판매하는 두 라인업은 겨냥한 고객층이 명확합니다. 40i는 충분한 출력으로 X7의 넉넉한 매력을 누릴 소비자, 그리고 M60i는 BMW의 고성능을 대형 SUV에서도 만끽하길 바라는 소비자를 겨냥한 모델입니다."
54,7461,4002,BMW X7 (G07),디젤은 여전히 인기가 많네요?,"맞습니다. 2025년 4월 엔카 매물 기준 X7 623대 가운데 202대가 디젤로 대략 3대 중 1대가 디젤 모델입니다. BMW 디젤 엔진은 뛰어나기로 정평이 자자한 데다, 이토록 큰 차체를 효율적으로 이끌기에는 디젤만한 선택지가 없기 때문이죠. "
55,7461,4002,BMW X7 (G07),LCI 모델은 어떤 점이 다른가요?,"가장 큰 변화는 역시 디자인. 신형 7시리즈보다 앞서 위쪽에 주간주행등을, 아래쪽에 헤드램프를 넣는 디자인을 택했습니다. 출시 당시에 엄청나게 호불호가 나뉘었지만, 지금은 구형보다 웅장하다는 평가를 받고 있죠. "
56,7430,3984,링컨 에비에이터 2세대,리저브의 블랙 레이블 모델의 차이점은?,"2025년형 기준, 리저브는 8,990만원, 블랙 레이블은 1억440만원으로 1,450만원 차이지만 실제 차이는 크지 않습니다. 블랙 레이블은 22인치 휠 디자인, 서배너 가죽 시트, 전용 인테리어 테마, 2열 독립 시트가 추가되며, 주요 기능은 동일합니다."
57,7430,3984,링컨 에비에이터 2세대,동 체급 독 3사와 비교해 보면?,"에비에이터는 길이 5m가 넘어 X5, GLE, Q7보다 크지만 X7, GLS보단 작아 체급이 애매합니다. 브랜드 가치와 완성도 차이로 인해 가격은 X5, GLE, Q7보다 1,600만~3,000만원 저렴한 편입니다."
58,7430,3984,링컨 에비에이터 2세대,실차주들의 후기는 어떤가요?,"대체로 만족도가 높습니다. 에어서스와 로드 프리뷰로 구현된 승차감, 풍부한 편의사양, 레벨 울티마 3D 오디오는 특히 호평받습니다. 반면 연비, 뒷좌석 시트, 후방카메라 결함, 잡소리, 인포테인먼트 먹통 등이 단점으로 꼽힙니다."
59,7430,3984,링컨 에비에이터 2세대,구매 전 주의사항이 있나요?,"후진 시 후방카메라 화면이 뜨지 않는 결함이 있으며, 리콜 후에도 재발 사례가 있어 구매 전 작동 여부와 리콜 이력 확인이 필요합니다. 또한 선루프 누수 사례도 있어 중고차 구매 시 천장 얼룩 여부를 꼭 살펴보는 것이 좋습니다."
60,7473,3982,볼보 XC90 2세대,안전은 역시 볼보죠?,"볼보 XC90은 2023·2024년 미국 IIHS 충돌 안전테스트에서 최고 등급인 ‘탑세이프티픽플러스’를 2년 연속 획득했습니다. 이 등급은 중간·소형 오버랩, 전면·측면 충돌, 보행자 충돌 방지, 헤드라이트 등 다양한 테스트를 우수하게 통과해야만 받을 수 있습니다."
61,7473,3982,볼보 XC90 2세대,이 덩치에 4기통 엔진은 부족하지 않을까요,"XC90은 경쟁 모델 대비 출력은 낮지만, 200~300kg 더 가벼운 무게 덕에 체감 차이는 크지 않습니다. 출력이 아쉽다면 462마력의 PHEV T8을 추천합니다."
62,7473,3982,볼보 XC90 2세대,출시한 지 10년 넘은 모델인데 괜찮을까요?,"세월이 느껴지긴 하지만, 유행을 타지 않는 스칸디나비안 디자인과 꾸준한 업데이트 덕분에 XC90은 여전히 세련됩니다. 완성도 높은 2.0L 터보 엔진과 SPA 플랫폼도 강점이죠."
63,7473,3982,볼보 XC90 2세대,인포테인먼트가 악명이 높던데요?,"일부 XC90에서 인포테인먼트 먹통, 계기판 꺼짐 등 오류가 발생 중입니다. 일시적이며 재부팅으로 해결되지만, 여전히 불편은 남아 있습니다."
64,,3964,현대 갤로퍼 2,서울 진입은 아무래도 어렵죠?,"서울 갤로퍼 씨가 마른 데는 다 이유가 있습니다. 배출가스 저감장치를 달 수 없는 ‘장치 미개발’ 차종이기 때문에 다른 지역에서는 단속을 유예하거나 제외하지만, 서울에서는 아주 얄짤없습니다.단, 경제적 사정을 고려해 예외적으로 탈 수 있게 허용합니다."
65,,3964,현대 갤로퍼 2,리스토어 차량 구매 시 주의할 점이 있을까,"개조에 따른 구조변경 문제 등 리스토어 중고차는 주의할 점이 많습니다. 그중에서도 종종 저렴한 목재로 실내를 꾸민 차들이 문제인데요, 개조했을 때 잠깐은 멋있어 보이지만, 온도에 따른 변형과 곰팡이 발생 등 여러 문제가 많습니다. "
66,,3964,현대 갤로퍼 2,LPG 개조 차량의 주의할 점은?,"전문가 모두가 추천하지 않는 방식입니다. LPG는 연료 특성상 발열이 굉장히 높은데요, 그래서 순정 LPG 엔진도 다른 가솔린 엔진보다 엔진오일 교체 주기를 앞당기는 편입니다."
67,,3964,현대 갤로퍼 2,이노베이션과 갤로퍼2는 다른 차량인가요?,"한마디로 갤로퍼 이노베이션은 안팎만 다르게 꾸민 모델입니다. 과거 미쓰비시에서 내놓은 고성능 모델 ‘파제로 에볼루션’을 따라한 아류죠. 엔진과 변속기, 차체 등은 기존 갤로퍼 숏바디 모델과 똑같았습니다. (일반 갤로퍼보다 훨씬 젊어 보이는건 비밀...)"
68,7547,3963,도요타 RAV4 5세대,반자율주행 장치가 라브4에는 있나요?,"5세대 라브4는 2019년 처음 출시할 때부터 모든 트림 차별 없이 반자율주행이 가능한 장비로 무장했습니다. 앞차와 거리는 물론 차선까지 스스로 지키며 달리는 어댑티브 크루즈 컨트롤 사용이 가능합니다. '자동운전'이라는 표현을 쓰지 않기에 생긴 오해입니다"
69,7547,3963,도요타 RAV4 5세대,하이브리드 모델 2륜과 4륜 연비 차이가?,"토요타 하이브리드의 네바퀴굴림 시스템 E-four는 오직 전기모터만으로 뒷바퀴를 굴립니다. 엔진 힘을 끌어오기 위한 기계 장비가 없어서 무게가 가볍고, 필요할 때만 배터리에서 전기를 꺼내 쓰기 때문에 매우 효율적이죠. 실제 주행하면 연비 차이 거의 없습니다"
70,7547,3963,도요타 RAV4 5세대,ev모드 주행거리는 어떤가요?,"복합 1회 충전 주행거리는 63km입니다. 도심은 69km, 고속 주행은 55km에 그치죠. 실제로 시승했을 때 주행가능거리는 70km를 조금 넘었습니다. 아주 실용적이고 현실적인 1회 충전 주행가능거리죠."
71,7547,3963,도요타 RAV4 5세대,가솔린은 별로일까요?,"연료효율만 빼면 라브4의 가치는 그대로입니다. 내구성, 주행성, 실내공간, 편의 및 안전장비 등 하이브리드 모델보다 뒤처지는 점이 없습니다. 1L에 10km 남짓한 실연비가 더더욱 아쉬운 이유죠. 아! 네바퀴굴림을 선호한다면 아예 선택조차 할 수 없다는 점이...."
72,7547,3963,도요타 RAV4 5세대,동 가격대 국산차와 비교하면??,"동 가격대 국산차와 비교하면?? 같은 값에 국산차로 눈을 돌리면 중고든, 신차든 한 체급 위 SUV를 손에 넣을 수 있습니다. 기아 쏘렌토와 현대차 싼타페가 대표적이죠. 연비와 신뢰성이 더 중요하면 라브4, 그렇지 않다면 국산차를 추천합니다."
73,5620,3962,BYD 아토 3,BYD 오토 믿을만한 회사인가요?,"2024년 BYD는 전 세계에 427만2148대를 팔아 글로벌 완성차 판매 8위에 이름을 올렸습니다. 하지만 중국을 제외한 해외 시장 판매는 41만7204대에 그쳐 아직 우물 안 개구리로 불리는데요.과거와 달리 현재는 전 세계 시장 표준에 따라 신차를 만들고 있습니다. "
74,5620,3962,BYD 아토 3,서비스센터 환경은 어떤가요?,"서비스센터는 전국 12곳에 위치해있습니다. 국내 판매를 담당하는 딜러사는 6곳으로 기존에 규모가 큰 수입차 딜러사를 운영했거나, 자금력 있는 기업에서 운영합니다."
75,5620,3962,BYD 아토 3,기존 전기차 대비 저렴한 이유가 있을까요?,가장 큰 이유는 상대적으로 인건비가 싼 중국에서 생산하기 때문입니다. 또 BYD코리아는 “국내 승용 부문 진출을 하며 선보인 첫 모델이기 때문에 저렴한 가격으로 내놓았다”라고 밝혔는데요. 해외 판매 가격과 비교하면 거짓이 아니라는 사실을 알 수 있습니다.
76,5620,3962,BYD 아토 3,보조금도 적다는데 취득세도 마찬가지?,국산 전기차에 비해 중국산 전기차는 구매 보조금이 덜 나옵니다. 다행히 취득세는 국산차와 차별이 없습니다. 전기차는 2026년 12월 31일까지 취득세를 최대 140만원까지 감면받을 수 있습니다. 아토 3 취득세는 60만4545(7% 기준)입니다.
77,5620,3962,BYD 아토 3,갑자기 불이 나거나 폭발하지는 않을까요?,"BYD는 NCM 배터리에 비해 블레이드 LFP 배터리가 안전하다는 사실을 입증하기 위해 배터리를 뾰족한 못으로 찌르고, 무게 46톤 트럭으로 밟고 지나가고, 섭씨 300도로 배터리를 굽는 시험을 진행했습니다. 이만하면 믿을만하지 않나요?"
