carClassNbr,rn,gender,cnt,percent
3775,3,여자,19,20.7
3775,2,법인및사업자,24,26.1
3776,2,남자,8,33.3
3776,1,법인및사업자,16,66.7
3777,1,남자,26,72.2
3777,3,여자,3,8.3
3777,2,법인및사업자,7,19.4
3778,1,남자,25,58.1
3778,2,여자,12,27.9
3778,3,법인및사업자,6,14
3779,1,남자,118,51.3
3779,3,여자,18,7.8
3779,2,법인및사업자,94,40.9
3780,1,남자,12,50
3780,3,여자,4,16.7
3780,2,법인및사업자,8,33.3
3782,1,남자,1,100
3783,2,남자,4,40
3783,3,여자,1,10
3783,1,법인및사업자,5,50
3784,1,남자,40,64.5
3784,3,여자,7,11.3
3784,2,법인및사업자,15,24.2
3788,2,남자,1,33.3
3788,1,법인및사업자,2,66.7
3789,1,남자,9,81.8
3789,2,법인및사업자,2,18.2
3791,1,남자,1,100
3792,1,남자,1,33.3
3792,3,여자,1,33.3
3792,2,법인및사업자,1,33.3
3794,1,남자,1,100
3795,1,남자,20,80
3795,2,법인및사업자,5,20
3796,1,남자,325,60.4
3796,3,여자,85,15.8
3796,2,법인및사업자,128,23.8
3797,1,남자,33,42.9
3797,3,여자,21,27.3
3797,2,법인및사업자,23,29.9
3799,1,남자,104,63.8
3799,3,여자,23,14.1
3799,2,법인및사업자,36,22.1
3800,1,남자,4,50
3800,3,여자,1,12.5
3800,2,법인및사업자,3,37.5
3801,1,남자,15,50
3801,3,여자,1,3.3
3801,2,법인및사업자,14,46.7
3802,1,남자,1,100
3803,1,남자,1,100
3804,1,남자,267,49.8
3804,3,여자,62,11.6
3804,2,법인및사업자,207,38.6
3805,1,남자,119,52.9
3805,3,여자,23,10.2
3805,2,법인및사업자,83,36.9
3806,1,남자,5,100
3807,1,법인및사업자,2,100
3808,1,남자,11,68.8
3808,2,법인및사업자,5,31.3
3809,1,남자,98,76.6
3809,3,여자,12,9.4
3809,2,법인및사업자,18,14.1
3810,1,남자,10,76.9
3810,2,법인및사업자,3,23.1
3811,1,법인및사업자,1,100
3812,1,남자,1,100
3815,1,남자,69,67
3815,3,여자,11,10.7
3815,2,법인및사업자,23,22.3
3817,1,남자,11,44
3817,3,여자,6,24
3817,2,법인및사업자,8,32
3818,1,남자,23,57.5
3818,3,여자,6,15
3818,2,법인및사업자,11,27.5
3819,1,남자,832,57.3
3819,3,여자,254,17.5
3819,2,법인및사업자,367,25.3
3821,2,남자,31,29.2
3821,3,여자,10,9.4
3821,1,법인및사업자,65,61.3
3823,1,남자,1,100
3824,1,남자,4,80
3824,2,법인및사업자,1,20
3825,1,남자,208,52.8
3825,3,여자,54,13.7
3825,2,법인및사업자,132,33.5
3826,1,남자,190,44.4
3826,3,여자,50,11.7
3826,2,법인및사업자,188,43.9
3827,2,남자,22,32.4
3827,3,여자,8,11.8
3827,1,법인및사업자,38,55.9
3828,1,남자,7,43.8
3828,3,여자,2,12.5
3828,2,법인및사업자,7,43.8
3829,1,남자,54,57.4
3829,3,여자,11,11.7
3829,2,법인및사업자,29,30.9
3830,1,남자,283,57.1
3830,3,여자,96,19.4
3830,2,법인및사업자,117,23.6
3832,1,남자,33,50.8
3832,3,여자,11,16.9
3832,2,법인및사업자,21,32.3
3833,2,남자,5,21.7
3833,3,여자,1,4.3
3833,1,법인및사업자,17,73.9
3835,1,남자,20,58.8
3835,3,여자,5,14.7
3835,2,법인및사업자,9,26.5
3836,1,남자,46,45.5
3836,3,여자,9,8.9
3836,2,법인및사업자,46,45.5
3837,2,남자,19,37.3
3837,3,여자,7,13.7
3837,1,법인및사업자,25,49
3838,1,남자,6,60
3838,3,여자,2,20
3838,2,법인및사업자,2,20
3840,2,여자,1,33.3
3840,1,법인및사업자,2,66.7
3841,1,남자,3,42.9
3841,3,여자,1,14.3
3841,2,법인및사업자,3,42.9
3843,1,남자,3,100
3844,1,남자,2,66.7
3844,2,법인및사업자,1,33.3
3845,1,남자,3,75
3845,2,여자,1,25
3846,1,남자,1,50
3846,2,여자,1,50
3847,1,남자,5,71.4
3847,2,법인및사업자,2,28.6
3848,2,남자,35,43.8
3848,3,여자,9,11.3
3848,1,법인및사업자,36,45
3849,1,남자,3,75
3849,2,여자,1,25
3850,1,남자,269,57.5
3850,3,여자,75,16
3850,2,법인및사업자,124,26.5
3851,1,남자,10,76.9
3851,3,여자,1,7.7
3851,2,법인및사업자,2,15.4
3852,2,남자,35,38.9
3852,3,여자,3,3.3
3852,1,법인및사업자,52,57.8
3853,1,남자,156,46.2
3853,3,여자,39,11.5
3853,2,법인및사업자,143,42.3
3854,1,남자,1,50
3854,2,법인및사업자,1,50
3855,1,남자,87,46.3
3855,3,여자,20,10.6
3855,2,법인및사업자,81,43.1
3856,1,남자,2,50
3856,2,법인및사업자,2,50
3857,1,남자,11,68.8
3857,3,여자,1,6.3
3857,2,법인및사업자,4,25
3858,1,남자,74,48.1
3858,3,여자,37,24
3858,2,법인및사업자,43,27.9
3860,1,남자,3,50
3860,3,여자,1,16.7
3860,2,법인및사업자,2,33.3
3861,1,남자,481,50.4
3861,3,여자,107,11.2
3861,2,법인및사업자,366,38.4
3862,1,남자,30,60
3862,3,여자,9,18
3862,2,법인및사업자,11,22
3863,1,남자,29,60.4
3863,3,여자,9,18.8
3863,2,법인및사업자,10,20.8
3864,1,남자,2,100
3865,1,남자,93,61.6
3865,3,여자,26,17.2
3865,2,법인및사업자,32,21.2
3866,1,남자,144,69.9
3866,2,여자,34,16.5
3866,3,법인및사업자,28,13.6
3867,1,남자,32,66.7
3867,3,여자,1,2.1
3867,2,법인및사업자,15,31.3
3868,1,남자,19,48.7
3868,3,여자,6,15.4
3868,2,법인및사업자,14,35.9
3869,1,남자,54,58.7
3869,3,여자,15,16.3
3869,2,법인및사업자,23,25
3870,1,남자,58,71.6
3870,3,여자,8,9.9
3870,2,법인및사업자,15,18.5
3871,1,남자,3,50
3871,3,여자,1,16.7
3871,2,법인및사업자,2,33.3
3873,1,남자,4,36.4
3873,3,여자,3,27.3
3873,2,법인및사업자,4,36.4
3874,1,남자,209,65.7
3874,3,여자,27,8.5
3874,2,법인및사업자,82,25.8
3875,1,남자,2,50
3875,3,여자,1,25
3875,2,법인및사업자,1,25
3876,2,남자,4,40
3876,3,여자,1,10
3876,1,법인및사업자,5,50
3877,1,남자,7,58.3
3877,3,여자,2,16.7
3877,2,법인및사업자,3,25
3878,1,남자,3,50
3878,3,여자,1,16.7
3878,2,법인및사업자,2,33.3
3879,1,남자,23,62.2
3879,3,여자,7,18.9
3879,2,법인및사업자,7,18.9
3880,2,남자,7,16.3
3880,3,여자,1,2.3
3880,1,법인및사업자,35,81.4
3881,2,남자,2,22.2
3881,1,법인및사업자,7,77.8
3882,2,남자,1,16.7
3882,3,여자,1,16.7
3882,1,법인및사업자,4,66.7
3883,2,남자,6,35.3
3883,3,여자,4,23.5
3883,1,법인및사업자,7,41.2
3885,1,남자,5,41.7
3885,3,여자,2,16.7
3885,2,법인및사업자,5,41.7
3886,1,남자,8,61.5
3886,2,법인및사업자,5,38.5
3887,1,남자,14,51.9
3887,2,법인및사업자,13,48.1
3888,1,남자,3,50
3888,3,여자,1,16.7
3888,2,법인및사업자,2,33.3
3889,1,남자,6,60
3889,3,여자,1,10
3889,2,법인및사업자,3,30
3890,2,남자,4,44.4
3890,1,여자,5,55.6
3891,1,남자,49,65.3
3891,3,여자,9,12
3891,2,법인및사업자,17,22.7
3892,1,남자,6,54.5
3892,3,여자,1,9.1
3892,2,법인및사업자,4,36.4
3894,1,남자,22,57.9
3894,3,여자,8,21.1
3894,2,법인및사업자,8,21.1
3896,1,남자,5,100
3897,2,남자,25,31.6
3897,3,여자,11,13.9
3897,1,법인및사업자,43,54.4
3898,2,남자,44,38.9
3898,3,여자,13,11.5
3898,1,법인및사업자,56,49.6
3900,1,법인및사업자,1,100
3901,1,남자,4,57.1
3901,2,법인및사업자,3,42.9
3903,1,남자,10,71.4
3903,2,법인및사업자,4,28.6
3904,2,남자,73,43.5
3904,3,여자,14,8.3
3904,1,법인및사업자,81,48.2
3905,1,남자,6,46.2
3905,3,여자,1,7.7
3905,2,법인및사업자,6,46.2
3906,2,남자,10,40
3906,3,여자,2,8
3906,1,법인및사업자,13,52
3907,1,남자,1,100
3908,1,남자,10,66.7
3908,3,여자,1,6.7
3908,2,법인및사업자,4,26.7
3909,1,남자,4,57.1
3909,3,여자,1,14.3
3909,2,법인및사업자,2,28.6
3910,1,남자,13,81.3
3910,2,법인및사업자,3,18.8
3911,1,남자,23,74.2
3911,3,여자,3,9.7
3911,2,법인및사업자,5,16.1
3912,1,남자,68,68.7
3912,3,여자,7,7.1
3912,2,법인및사업자,24,24.2
3913,1,남자,2,66.7
3913,2,여자,1,33.3
3914,1,남자,1,50
3914,2,법인및사업자,1,50
3915,1,남자,4,57.1
3915,2,법인및사업자,3,42.9
3916,1,남자,70,62.5
3916,3,여자,21,18.8
3916,2,법인및사업자,21,18.8
3917,1,남자,26,63.4
3917,2,여자,8,19.5
3917,3,법인및사업자,7,17.1
3918,1,남자,63,56.8
3918,3,여자,8,7.2
3918,2,법인및사업자,40,36
3920,2,남자,1,25
3920,3,여자,1,25
3920,1,법인및사업자,2,50
3922,1,남자,237,60.9
3922,3,여자,52,13.4
3922,2,법인및사업자,100,25.7
3924,2,남자,2,40
3924,1,법인및사업자,3,60
3925,1,남자,3,60
3925,3,여자,1,20
3925,2,법인및사업자,1,20
3926,2,남자,6,37.5
3926,3,여자,2,12.5
3926,1,법인및사업자,8,50
3927,1,남자,3,60
3927,2,여자,2,40
3928,2,남자,1,33.3
3928,1,법인및사업자,2,66.7
3929,1,남자,1,100
3930,1,남자,1,100
3932,1,남자,1,100
3934,2,여자,2,50
3934,1,법인및사업자,2,50
3935,1,남자,9,52.9
3935,3,여자,3,17.6
3935,2,법인및사업자,5,29.4
3936,2,남자,18,36.7
3936,3,여자,8,16.3
3936,1,법인및사업자,23,46.9
3937,1,남자,155,51.7
3937,3,여자,33,11
3937,2,법인및사업자,112,37.3
3940,1,남자,2,100
3943,2,남자,5,26.3
3943,3,여자,1,5.3
3943,1,법인및사업자,13,68.4
3944,1,남자,1,100
3945,2,남자,168,35
3945,3,여자,39,8.1
3945,1,법인및사업자,273,56.9
3946,1,남자,3,75
3946,2,법인및사업자,1,25
3951,1,남자,5,62.5
3951,2,법인및사업자,3,37.5
3952,1,남자,114,66.7
3952,3,여자,12,7
3952,2,법인및사업자,45,26.3
3953,1,남자,1,100
3954,1,남자,3,60
3954,2,법인및사업자,2,40
3955,1,남자,2,50
3955,3,여자,1,25
3955,2,법인및사업자,1,25
3956,1,남자,481,47.2
3956,3,여자,90,8.8
3956,2,법인및사업자,448,44
3957,1,남자,1641,49.6
3957,3,여자,550,16.6
3957,2,법인및사업자,1118,33.8
3958,1,남자,384,58.4
3958,3,여자,114,17.4
3958,2,법인및사업자,159,24.2
3959,1,남자,24,46.2
3959,3,여자,6,11.5
3959,2,법인및사업자,22,42.3
3960,1,남자,5,38.5
3960,2,여자,5,38.5
3960,3,법인및사업자,3,23.1
3961,1,남자,76,55.1
3961,3,여자,18,13
3961,2,법인및사업자,44,31.9
3962,1,남자,160,48
3962,3,여자,39,11.7
3962,2,법인및사업자,134,40.2
3963,2,남자,168,40.8
3963,3,여자,41,10
3963,1,법인및사업자,203,49.3
3964,1,남자,14,58.3
3964,3,여자,2,8.3
3964,2,법인및사업자,8,33.3
3965,1,남자,4,50
3965,3,여자,1,12.5
3965,2,법인및사업자,3,37.5
3966,1,남자,27,55.1
3966,3,여자,6,12.2
3966,2,법인및사업자,16,32.7
3967,1,남자,13,56.5
3967,3,여자,2,8.7
3967,2,법인및사업자,8,34.8
3968,1,남자,1,50
3968,2,여자,1,50
3969,1,남자,4,57.1
3969,2,법인및사업자,3,42.9
3971,1,남자,41,62.1
3971,3,여자,7,10.6
3971,2,법인및사업자,18,27.3
3972,1,남자,69,55.6
3972,3,여자,10,8.1
3972,2,법인및사업자,45,36.3
3973,1,남자,105,44.5
3973,3,여자,57,24.2
3973,2,법인및사업자,74,31.4
3974,1,남자,78,65
3974,3,여자,14,11.7
3974,2,법인및사업자,28,23.3
3975,1,남자,27,50.9
3975,3,여자,8,15.1
3975,2,법인및사업자,18,34
3976,1,남자,39,50
3976,3,여자,8,10.3
3976,2,법인및사업자,31,39.7
3977,1,남자,429,50.2
3977,3,여자,116,13.6
3977,2,법인및사업자,309,36.2
3978,1,남자,77,56.2
3978,3,여자,25,18.2
3978,2,법인및사업자,35,25.5
3979,2,남자,48,42.5
3979,3,여자,5,4.4
3979,1,법인및사업자,60,53.1
3982,1,남자,2,50
3982,2,법인및사업자,2,50
3983,1,남자,14,53.8
3983,3,여자,3,11.5
3983,2,법인및사업자,9,34.6
3984,1,법인및사업자,2,100
3985,1,남자,38,58.5
3985,3,여자,12,18.5
3985,2,법인및사업자,15,23.1
3986,1,남자,271,57.8
3986,3,여자,86,18.3
3986,2,법인및사업자,112,23.9
3987,1,남자,191,48.1
3987,3,여자,38,9.6
3987,2,법인및사업자,168,42.3
3989,1,남자,7,100
3991,2,남자,3,25
3991,3,여자,2,16.7
3991,1,법인및사업자,7,58.3
3992,1,남자,2,66.7
3992,2,법인및사업자,1,33.3
3993,1,남자,27,40.9
3993,3,여자,13,19.7
3993,2,법인및사업자,26,39.4
3995,1,남자,10,55.6
3995,3,여자,1,5.6
3995,2,법인및사업자,7,38.9
3996,1,남자,3,100
3997,1,법인및사업자,1,100
3998,1,남자,21,46.7
3998,3,여자,4,8.9
3998,2,법인및사업자,20,44.4
3999,1,남자,4,66.7
3999,3,여자,1,16.7
3999,2,법인및사업자,1,16.7
4000,1,남자,4,66.7
4000,3,여자,1,16.7
4000,2,법인및사업자,1,16.7
4001,1,남자,5,71.4
4001,2,법인및사업자,2,28.6
4002,1,남자,11,64.7
4002,3,여자,3,17.6
4002,2,법인및사업자,3,17.6
4004,1,남자,19,67.9
4004,3,여자,1,3.6
4004,2,법인및사업자,8,28.6
4005,1,남자,317,63.5
4005,3,여자,75,15
4005,2,법인및사업자,107,21.4
4006,2,남자,9,34.6
4006,1,법인및사업자,17,65.4
4007,2,남자,120,41.8
4007,3,여자,35,12.2
4007,1,법인및사업자,132,46
4008,1,남자,60,58.3
4008,3,여자,10,9.7
4008,2,법인및사업자,33,32
4009,1,남자,4,50
4009,2,법인및사업자,4,50
4010,1,남자,44,64.7
4010,3,여자,9,13.2
4010,2,법인및사업자,15,22.1
4012,1,남자,36,61
4012,3,여자,4,6.8
4012,2,법인및사업자,19,32.2
4014,2,남자,4,40
4014,1,법인및사업자,6,60
4017,2,남자,2,33.3
4017,3,여자,1,16.7
4017,1,법인및사업자,3,50
4020,1,남자,8,88.9
4020,2,법인및사업자,1,11.1
4021,2,남자,8,40
4021,3,여자,2,10
4021,1,법인및사업자,10,50
4024,1,남자,96,47.3
4024,3,여자,17,8.4
4024,2,법인및사업자,90,44.3
4025,1,남자,55,56.7
4025,3,여자,12,12.4
4025,2,법인및사업자,30,30.9
4026,2,남자,1,33.3
4026,1,법인및사업자,2,66.7
4027,1,남자,66,47.5
4027,3,여자,26,18.7
4027,2,법인및사업자,47,33.8
4028,1,남자,17,45.9
4028,3,여자,9,24.3
4028,2,법인및사업자,11,29.7
4029,1,남자,15,60
4029,3,여자,3,12
4029,2,법인및사업자,7,28
4031,1,남자,112,47.5
4031,3,여자,42,17.8
4031,2,법인및사업자,82,34.7
4032,2,남자,5,31.3
4032,3,여자,2,12.5
4032,1,법인및사업자,9,56.3
4033,2,남자,4,20
4033,3,여자,1,5
4033,1,법인및사업자,15,75
4034,1,남자,94,60.3
4034,3,여자,26,16.7
4034,2,법인및사업자,36,23.1
4036,2,남자,32,43.2
4036,3,여자,9,12.2
4036,1,법인및사업자,33,44.6
4038,2,남자,13,39.4
4038,3,여자,2,6.1
4038,1,법인및사업자,18,54.5
4039,1,남자,31,47
4039,3,여자,9,13.6
4039,2,법인및사업자,26,39.4
4040,2,남자,3,42.9
4040,1,법인및사업자,4,57.1
4041,1,남자,11,61.1
4041,2,여자,5,27.8
4041,3,법인및사업자,2,11.1
4042,1,남자,6,40
4042,3,여자,3,20
4042,2,법인및사업자,6,40
4044,1,남자,3,60
4044,3,여자,1,20
4044,2,법인및사업자,1,20
4045,2,남자,47,37
4045,3,여자,9,7.1
4045,1,법인및사업자,71,55.9
4046,1,남자,49,51.6
4046,3,여자,15,15.8
4046,2,법인및사업자,31,32.6
4047,1,남자,1,33.3
4047,3,여자,1,33.3
4047,2,법인및사업자,1,33.3
4049,1,남자,14,63.6
4049,3,여자,2,9.1
4049,2,법인및사업자,6,27.3
4050,1,남자,3,75
4050,2,법인및사업자,1,25
4051,1,남자,550,47.7
4051,3,여자,114,9.9
4051,2,법인및사업자,488,42.4
4052,1,법인및사업자,1,100
4053,1,남자,1,50
4053,2,법인및사업자,1,50
4054,1,남자,60,54.1
4054,3,여자,9,8.1
4054,2,법인및사업자,42,37.8
4055,1,남자,41,60.3
4055,3,여자,8,11.8
4055,2,법인및사업자,19,27.9
4056,1,남자,1,100
4057,1,남자,40,58
4057,3,여자,10,14.5
4057,2,법인및사업자,19,27.5
4058,1,남자,144,65.2
4058,3,여자,31,14
4058,2,법인및사업자,46,20.8
4059,1,남자,2,50
4059,3,여자,1,25
4059,2,법인및사업자,1,25
4060,1,남자,45,47.4
4060,3,여자,7,7.4
4060,2,법인및사업자,43,45.3
4061,1,남자,17,63
4061,3,여자,3,11.1
4061,2,법인및사업자,7,25.9
4062,1,남자,41,53.9
4062,3,여자,5,6.6
4062,2,법인및사업자,30,39.5
4064,1,여자,2,66.7
4064,2,법인및사업자,1,33.3
4065,1,여자,2,66.7
4065,2,법인및사업자,1,33.3
4067,1,남자,18,66.7
4067,3,여자,1,3.7
4067,2,법인및사업자,8,29.6
4068,1,남자,43,63.2
4068,3,여자,6,8.8
4068,2,법인및사업자,19,27.9
4070,2,남자,2,40
4070,1,법인및사업자,3,60
4071,1,남자,39,54.9
4071,2,여자,21,29.6
4071,3,법인및사업자,11,15.5
4073,1,법인및사업자,1,100
4074,2,남자,3,37.5
4074,1,법인및사업자,5,62.5
4075,1,남자,140,54.3
4075,3,여자,29,11.2
4075,2,법인및사업자,89,34.5
4076,1,남자,4,44.4
4076,3,여자,1,11.1
4076,2,법인및사업자,4,44.4
4077,1,남자,1711,53.2
4077,3,여자,610,18.9
4077,2,법인및사업자,898,27.9
4079,1,남자,32,57.1
4079,3,여자,6,10.7
4079,2,법인및사업자,18,32.1
4080,1,남자,4,66.7
4080,2,법인및사업자,2,33.3
4081,1,남자,1,100
4083,1,남자,10,47.6
4083,3,여자,2,9.5
4083,2,법인및사업자,9,42.9
4084,2,남자,99,45.4
4084,3,여자,13,6
4084,1,법인및사업자,106,48.6
4085,1,남자,13,59.1
4085,3,여자,3,13.6
4085,2,법인및사업자,6,27.3
4086,1,남자,2,50
4086,3,여자,1,25
4086,2,법인및사업자,1,25
4087,1,남자,6,54.5
4087,2,법인및사업자,5,45.5
4088,2,남자,358,42.7
4088,3,여자,81,9.7
4088,1,법인및사업자,399,47.6
4089,1,남자,1,50
4089,2,법인및사업자,1,50
4090,1,남자,2,66.7
4090,2,법인및사업자,1,33.3
4091,1,남자,4,50
4091,3,여자,2,25
4091,2,법인및사업자,2,25
4092,1,남자,92,56.1
4092,3,여자,28,17.1
4092,2,법인및사업자,44,26.8
4093,1,남자,1242,54.2
4093,3,여자,412,18
4093,2,법인및사업자,639,27.9
4094,1,남자,1,100
4095,1,남자,267,60.5
4095,3,여자,41,9.3
4095,2,법인및사업자,133,30.2
4096,1,남자,285,59.3
4096,3,여자,66,13.7
4096,2,법인및사업자,130,27
4097,1,남자,13,54.2
4097,3,여자,4,16.7
4097,2,법인및사업자,7,29.2
4100,1,남자,2,66.7
4100,2,법인및사업자,1,33.3
4101,1,남자,100,48.1
4101,3,여자,17,8.2
4101,2,법인및사업자,91,43.8
4102,1,법인및사업자,2,100
4105,1,남자,5,71.4
4105,3,여자,1,14.3
4105,2,법인및사업자,1,14.3
4106,1,남자,5,83.3
4106,2,여자,1,16.7
4108,1,남자,9,100
4111,1,남자,30,63.8
4111,3,여자,7,14.9
4111,2,법인및사업자,10,21.3
4114,1,남자,466,53.6
4114,3,여자,102,11.7
4114,2,법인및사업자,301,34.6
4115,1,남자,113,51.4
4115,3,여자,31,14.1
4115,2,법인및사업자,76,34.5
4122,1,남자,197,59
4122,3,여자,35,10.5
4122,2,법인및사업자,102,30.5
4123,1,남자,153,51.7
4123,3,여자,39,13.2
4123,2,법인및사업자,104,35.1
4124,1,남자,13,59.1
4124,2,여자,5,22.7
4124,3,법인및사업자,4,18.2
4125,1,남자,11,44
4125,3,여자,3,12
4125,2,법인및사업자,11,44
4130,1,남자,19,50
4130,3,여자,6,15.8
4130,2,법인및사업자,13,34.2
4131,1,남자,2,50
4131,2,법인및사업자,2,50
4132,2,남자,22,36.7
4132,3,여자,3,5
4132,1,법인및사업자,35,58.3
4133,1,남자,138,51.7
4133,3,여자,42,15.7
4133,2,법인및사업자,87,32.6
4134,1,남자,88,50.3
4134,3,여자,34,19.4
4134,2,법인및사업자,53,30.3
4135,1,남자,1,50
4135,2,법인및사업자,1,50
4136,1,남자,57,64.8
4136,3,여자,12,13.6
4136,2,법인및사업자,19,21.6
4137,1,남자,30,49.2
4137,3,여자,14,23
4137,2,법인및사업자,17,27.9
4138,1,남자,105,47.1
4138,3,여자,18,8.1
4138,2,법인및사업자,100,44.8
4139,1,남자,28,68.3
4139,3,여자,4,9.8
4139,2,법인및사업자,9,22
4140,1,남자,76,49
4140,3,여자,16,10.3
4140,2,법인및사업자,63,40.6
4142,1,남자,411,56.1
4142,3,여자,97,13.2
4142,2,법인및사업자,225,30.7
4143,1,남자,146,55.9
4143,3,여자,44,16.9
4143,2,법인및사업자,71,27.2
4144,1,남자,136,62.7
4144,3,여자,25,11.5
4144,2,법인및사업자,56,25.8
4145,1,남자,3,60
4145,2,법인및사업자,2,40
4146,1,남자,18,72
4146,2,여자,4,16
4146,3,법인및사업자,3,12
4147,2,남자,3,33.3
4147,3,여자,1,11.1
4147,1,법인및사업자,5,55.6
4148,1,남자,334,58.5
4148,3,여자,74,13
4148,2,법인및사업자,163,28.5
4149,1,남자,42,61.8
4149,3,여자,13,19.1
4149,2,법인및사업자,13,19.1
4151,1,남자,329,50.7
4151,3,여자,89,13.7
4151,2,법인및사업자,231,35.6
4152,2,남자,87,45.1
4152,3,여자,13,6.7
4152,1,법인및사업자,93,48.2
4153,1,남자,14,58.3
4153,2,법인및사업자,10,41.7
4154,1,법인및사업자,2,100
4155,1,법인및사업자,1,100
4156,1,남자,5,62.5
4156,3,여자,1,12.5
4156,2,법인및사업자,2,25
4157,1,남자,21,56.8
4157,3,여자,7,18.9
4157,2,법인및사업자,9,24.3
4158,1,남자,1,100
4159,1,남자,5,45.5
4159,3,여자,2,18.2
4159,2,법인및사업자,4,36.4
4160,1,남자,116,64.4
4160,3,여자,13,7.2
4160,2,법인및사업자,51,28.3
4161,1,남자,160,43.6
4161,3,여자,64,17.4
4161,2,법인및사업자,143,39
4163,2,남자,191,42.6
4163,3,여자,37,8.3
4163,1,법인및사업자,220,49.1
4164,1,남자,118,45.4
4164,3,여자,26,10
4164,2,법인및사업자,116,44.6
4165,1,남자,2,50
4165,2,법인및사업자,2,50
4166,1,남자,15,51.7
4166,3,여자,1,3.4
4166,2,법인및사업자,13,44.8
4167,1,남자,248,63.3
4167,3,여자,53,13.5
4167,2,법인및사업자,91,23.2
4168,2,남자,47,41.2
4168,3,여자,11,9.6
4168,1,법인및사업자,56,49.1
4175,1,남자,162,52.9
4175,3,여자,28,9.2
4175,2,법인및사업자,116,37.9
4176,1,남자,72,69.2
4176,3,여자,6,5.8
4176,2,법인및사업자,26,25
4177,2,남자,1,12.5
4177,1,법인및사업자,7,87.5
4178,1,남자,5,55.6
4178,2,법인및사업자,4,44.4
4179,1,남자,2,100
4183,3,남자,1,16.7
4183,2,여자,2,33.3
4183,1,법인및사업자,3,50
4184,1,남자,176,59.1
4184,3,여자,56,18.8
4184,2,법인및사업자,66,22.1
4185,1,남자,784,51.2
4185,3,여자,142,9.3
4185,2,법인및사업자,606,39.6
4186,1,남자,9,36
4186,3,여자,7,28
4186,2,법인및사업자,9,36
4187,1,남자,27,55.1
4187,3,여자,4,8.2
